Set	a	b	c	d	e	rs	rp
Set10000	0.06634874318801376	0.060700515263662935	0.09513361132932208	0.038989521110561975	0.11682229744921657	0.9999999999999998	0.9844588144245031
Set10001	0.05180114700965843	0.08722165000588689	0.09517674373376839	0.07930728331168613	0.0829106884377846	0.8999999999999998	0.8746091695175459
Set10002	0.11408528850652344	0.04455733173380172	0.068374582749264	0.05470464641818762	0.1429528401569503	0.9999999999999998	0.965875260439537
Set10003	0.11709537769891754	0.06077977847659699	0.041960381828332505	0.08274026141517887	0.11413460904865413	0.9999999999999998	0.980902554723747
Set10004	0.1557917311134286	0.06968973444180482	0.0942478434702324	0.05974168269122537	0.10131004822084688	0.9999999999999998	0.9442881725697464
Set10005	0.23443424443375094	0.16879621246589804	0.11159730211938024	0.060187021179595734	0.06778830943554337	0.8999999999999998	0.9533808406905739
Set10006	0.20577417805568232	0.13092821492391804	0.0578136422880714	0.09427858739872474	0.08279733173494364	0.9999999999999998	0.9459688991084994
Set10007	0.13683536494858028	0.06321407373281573	0.14638293424117566	0.05635077470711802	0.08218022105679457	0.9999999999999998	0.9561812320487004
Set10008	0.10841164471770492	0.05419346434408756	0.09166575699422663	0.049832095028292445	0.08658939945413424	0.9999999999999998	0.969197749544284
Set10009	0.0814547617559187	0.0841425509874032	0.10562162392418695	0.051328254854971056	0.05903640053708126	0.4999999999999999	0.6617714606219183
Set10010	0.11785877037447079	0.06160614041738477	0.11243742313510252	0.06090945166447559	0.06414562401436297	0.7999999999999998	0.8624661997035533
Set10011	0.08969294936838934	0.05442782939229862	0.10569968384244144	0.07084484630926813	0.0447556799472133	0.9999999999999998	0.9948791415076023
Set10012	0.04119454304289294	0.07519923253326499	0.13229042228814514	0.04828148979813418	0.18006992060621152	0.9999999999999998	0.963533359212337
Set10013	0.0621038177080957	0.10472421287218892	0.12380144767054557	0.08584780825591809	0.053919222064137906	0.9999999999999998	0.9920807704170076
Set10014	0.06997118649662493	0.11948736278176186	0.060599680942280076	0.04283711714175753	0.09143094515237837	0.9999999999999998	0.984392340213313
Set10015	0.04721162567840331	0.09931788986978451	0.13959158912847902	0.17249792488105486	0.10536341420167428	0.9999999999999998	0.9793006489393901
Set10016	0.10656103509114534	0.09096110605845698	0.0706430993403745	0.1438060206631434	0.046736426460807445	0.9999999999999998	0.9898669953350102
Set10017	0.0789958787718209	0.2812174930007221	0.06481034825029952	0.214588411446331	0.13555877648523262	0.9999999999999998	0.9781179923252236
Set10018	0.06355642194278543	0.1105677651815764	0.0536832003408243	0.08148649701065958	0.06879511141212924	0.9999999999999998	0.9482141434131056
Set10019	0.07801815242978039	0.13380980749268934	0.03442884604897756	0.04838591683350846	0.07719213092347577	0.8999999999999998	0.9429088995492997
Set10020	0.11964482510471519	0.043564652753341204	0.11370277347880742	0.06733138625021662	0.05275983251190697	0.7999999999999998	0.8910659038299235
Set10021	0.08532967075491726	0.041820834474836754	0.053587902349461536	0.07430253131775566	0.041125592123583576	0.8999999999999998	0.9589350357052847
Set10022	0.14544818217647382	0.06611751660906084	0.058440247867436845	0.13337513655336397	0.2053703830399669	0.8999999999999998	0.9503575509678391
Set10023	0.11798858854296412	0.07257274955583304	0.041784842079740425	0.04724263358244074	0.08634466943544428	0.9999999999999998	0.977307023723948
Set10024	0.21348554143940923	0.03576162379493775	0.06233079642239381	0.17267924314074745	0.07825694916148762	0.9999999999999998	0.9629577991785117
Set10025	0.07396097544052505	0.1399299519623889	0.0682459850116306	0.043586087177667765	0.040910279931638094	0.9999999999999998	0.9030602813583706
Set10026	0.2701422147400746	0.3223270264556749	0.12691179928865282	0.169335990285444	0.07605513888067783	0.9999999999999998	0.989537784678636
Set10027	0.04579560877382538	0.11360299556665632	0.18467829131935953	0.11514708730424938	0.06404126163132551	0.9999999999999998	0.9611441556568078
Set10028	0.09199783075536505	0.10467142146269837	0.04581493976834328	0.061608568678594544	0.03510282781589569	0.8999999999999998	0.9181491475245652
Set10029	0.06314306326847285	0.17091934173667367	0.10044198623626277	0.04197630147734788	0.11313447522352682	0.9999999999999998	0.9782085843676918
Set10030	0.06067532044948554	0.24549620369862946	0.19301723434783746	0.11416712854352307	0.06654308100841977	0.9999999999999998	0.9689629733595473
Set10031	0.2694995596045082	0.22498775235396884	0.1668597465550805	0.10699119373406618	0.10795527125076876	0.8999999999999998	0.97147151726016
Set10032	0.12839648781224733	0.07405298036725594	0.060489665523768554	0.07979380581644935	0.12256837623372807	0.9999999999999998	0.9560232345237243
Set10033	0.32787103331380385	0.06201003133400551	0.2033400663190501	0.231369967194757	0.12271837061417756	0.9999999999999998	0.9904238645757227
Set10034	0.07375882021677593	0.039857984762436405	0.08480947403304773	0.12320059059335642	0.046516083104201855	0.8999999999999998	0.939290257702837
Set10035	0.08231330403660164	0.11407513219208831	0.151126283421391	0.06369544101964919	0.11389435538555515	0.9999999999999998	0.972968067636129
Set10036	0.04010302502609164	0.059248737256963446	0.050084417750991705	0.08797619573235016	0.06335498708738185	0.7999999999999998	0.8362664935401245
Set10037	0.167804512494108	0.054283702196635364	0.17834587471819585	0.10194751811023517	0.0672600903642393	0.8999999999999998	0.9402878035156154
Set10038	0.03555693351671829	0.1073167546402175	0.05904029079674478	0.052253685318672694	0.11728285656815718	0.8999999999999998	0.9323027752732695
Set10039	0.2130061332707861	0.1045909673014015	0.07988520821857814	0.15881436017939	0.050341757050804015	0.9999999999999998	0.9849177731905556
Set10040	0.05802853143600861	0.10366461175729613	0.08914020370181641	0.07661623786610683	0.05794995741677822	0.7999999999999998	0.7111603716321986
Set10041	0.15673125891968342	0.10436259803092385	0.11794176446645488	0.06875641166311253	0.07713192109428002	0.9999999999999998	0.9758158297949178
Set10042	0.03502859242895984	0.05453870062903754	0.04368624916699182	0.12289705410724894	0.08609629536770791	0.9999999999999998	0.9566716405948753
Set10043	0.05420164142530526	0.06414897641137951	0.054032766895053874	0.080180735874395	0.04144804107034028	0.6999999999999998	0.8480771924929495
Set10044	0.1076577195282058	0.12246851176724471	0.07848272217330488	0.04856154086415343	0.034215515790575024	0.9999999999999998	0.9920129544004181
Set10045	0.08446766331301858	0.04551047222928306	0.08066859397457626	0.0357671512787735	0.046316390088794845	0.7999999999999998	0.9048390212728898
Set10046	0.051875209205500594	0.08168331656284245	0.06289966905658873	0.0438345485937075	0.0784736543277581	0.8999999999999998	0.8357417227324848
Set10047	0.1439361968664623	0.10304843522660745	0.08123238018790235	0.06470993824104143	0.05386543927805376	0.9999999999999998	0.9674948800361935
Set10048	0.06480140453406902	0.036174694400687546	0.0990677040117387	0.12236443807617958	0.07915312536615571	0.8999999999999998	0.8994309517813247
Set10049	0.04217040943512007	0.08010510768228762	0.0975910601593537	0.045086831547182404	0.07289336469036012	0.8999999999999998	0.9556417493542961
