Set	a	b	c	d	e	rs	rp
Set40000	0.0517306853	0.2268179904	0.0197008123	0.1467321687	0.1131532982	1	0.9884505034
Set40001	0.073332933	0.0523329879	0.036237361	0.0195607286	0.0180392662	0.9	0.9612372549
Set40002	0.0244419656	0.0369345318	0.0637855677	0.1123194098	0.145953362	1	0.980586787
Set40003	0.0267628374	0.0508721669	0.0821176151	0.0239452509	0.1120808942	1	0.971367105
Set40004	0.0262554716	0.0675772604	0.0453821171	0.015372122	0.0913130895	1	0.9915595857
Set40005	0.0272288303	0.0576787587	0.1152308464	0.0178938642	0.0864563326	1	0.988413551
Set40006	0.3704826138	0.2722472517	0.0558605472	0.1753960988	0.0995660768	1	0.990011624
Set40007	0.2568980872	0.0659680044	0.1782678692	0.0391857851	0.1018294777	1	0.974952494
Set40008	0.0331027508	0.0185089951	0.0869664662	0.1728691461	0.1028804998	1	0.972872025
Set40009	0.0268418222	0.0197920109	0.0109578346	0.0244912005	0.0546694986	1	0.9088106351
Set40010	0.0400351126	0.1665040057	0.1114629588	0.0603078593	0.1810266214	1	0.9832336864
Set40011	0.0268043554	0.0313748582	0.0778515844	0.1068101754	0.0642956576	1	0.9800069779
Set40012	0.2735865046	0.060250024	0.1784024084	0.107822434	0.0197892956	1	0.983964024
Set40013	0.069437706	0.1100921814	0.149962996	0.0186744575	0.0267068237	1	0.9829967683
Set40014	0.0102821419	0.0557631939	0.028743451	0.044168007	0.017339754	1	0.9929601792
Set40015	0.0176724788	0.1324729118	0.0350490103	0.074510316	0.1596598456	1	0.9860975856
Set40016	0.0277942236	0.0131009407	0.0539836624	0.1546042323	0.0953062253	1	0.9696234046
Set40017	0.0495860552	0.088812482	0.1270992853	0.0189126606	0.0283413355	1	0.9728015832
Set40018	0.0214985681	0.0136648812	0.0780753792	0.1668165959	0.0476397966	1	0.925751723
Set40019	0.0163672915	0.0301629236	0.0672479874	0.1158871165	0.1702087289	1	0.9798207276
Set40020	0.0367773707	0.0866199894	0.0201132138	0.0225394371	0.0561839711	1	0.9547173712
Set40021	0.1153891083	0.0321334833	0.0530042296	0.0177623986	0.0731580442	1	0.978063926
Set40022	0.1043868323	0.0629353802	0.0182971202	0.0320878531	0.0617217162	0.9	0.9604326281
Set40023	0.0836331944	0.0161781173	0.026172363	0.0727133187	0.0266663652	0.9	0.9305179177
Set40024	0.0746364778	0.1142965085	0.0304316515	0.0445006418	0.0164413767	1	0.9716552256
Set40025	0.0165784831	0.0324936295	0.0636694039	0.0828424089	0.1340964704	1	0.9793588989
Set40026	0.0183950669	0.0708200238	0.0373373059	0.0546746152	0.0207756784	1	0.979181875
Set40027	0.0157665716	0.1227377159	0.0990239091	0.0556690203	0.0430207781	1	0.9883281211
Set40028	0.020190737	0.0812102174	0.1196867645	0.0299069753	0.0463172061	1	0.9678042644
Set40029	0.0239800295	0.1378313509	0.0517129436	0.0896448093	0.0140129139	1	0.9734553442
Set40030	0.091242661	0.0169805677	0.02992855	0.0563831776	0.1495284729	1	0.9679671044
Set40031	0.0137352102	0.040347693	0.0660077574	0.1328987131	0.0264628575	1	0.9305270281
Set40032	0.0329518852	0.0094508216	0.0212302204	0.0893391536	0.0529055898	1	0.9658424075
Set40033	0.1223634855	0.0684706614	0.0171527672	0.0434456248	0.1875310929	1	0.9764391077
Set40034	0.0633007447	0.0277645475	0.0897822684	0.0513210153	0.0154194242	1	0.9919820702
Set40035	0.0529843219	0.0253897562	0.0203160909	0.0981058969	0.0710755547	1	0.9832245074
Set40036	0.0292674938	0.013062133	0.0210902762	0.0378696521	0.0542770459	1	0.9862314634
Set40037	0.0789141252	0.0595833818	0.1283383669	0.0227947083	0.1963639502	1	0.9778661493
Set40038	0.1091869315	0.029272717	0.0448757852	0.0120269938	0.0813331927	1	0.9862983109
Set40039	0.0539788951	0.0413260256	0.0785015872	0.0267121002	0.0226326939	1	0.9707234236
Set40040	0.0982846825	0.0338428314	0.1385918501	0.0539424758	0.0193094019	1	0.9763081212
Set40041	0.0893554898	0.0641007157	0.0363395926	0.0204039358	0.1368056892	1	0.9824678741
Set40042	0.0079379698	0.014702852	0.027464733	0.0434476946	0.0566644699	1	0.9918135908
Set40043	0.0879147544	0.1397427399	0.0173268327	0.0256216909	0.0546238142	1	0.9691520445
Set40044	0.1293539171	0.1821491225	0.0825691849	0.0121442724	0.0360162025	1	0.9926243732
Set40045	0.0169023936	0.0820622791	0.0327061154	0.052477207	0.0625129654	1	0.9963255615
Set40046	0.0195600765	0.0773442088	0.0411331518	0.056243847	0.1079305718	1	0.9926095821
Set40047	0.0363639256	0.0641678485	0.0803135708	0.0417310452	0.0188250401	1	0.9875766399
Set40048	0.0989614243	0.0577628718	0.1441753167	0.2090508718	0.0165895279	1	0.9948775872
Set40049	0.0636928621	0.013113288	0.0286614743	0.0972331231	0.0356131698	1	0.9675085894
						0.994	0.9751479867
