author	ntokens
klyban	1039386
Nemesis1	958633
Dolcontina	823773
IceDog	565078
BengtZz	533212
-KarlAlfred	509713
Arkomann	482244
	466113
Heavyassloaded	427650
LightCloud	421262
marilyn	413210
BigFatCone	395300
Phailure	388012
Psychorama	376711
undervattenfisk	362371
Bullsquid	335512
Fenjal888	332247
nerobol5	321598
rockdoll	320401
Unbalanced	319244
imNOTwell	315134
SinCity	298816
Alladin	293882
Psychopatic	291315
makaveli143	288864
Charmaine	284708
Bongmon	281775
wsb	281323
testocyp	276793
Mommejr	267254
Qidush	263353
BilboBu	262739
yonny	261801
jamesdean	259983
Mr.Dee	249384
hemoglobin	248087
AntiAlias	246820
GaiN	246535
Byggarproffsen	244720
heyhey1	243797
Glomgold	239322
Mr-zippo	238760
Mystiqe	238532
Sandoz	228812
Pinkskin	228375
Slingshot	225954
WhiskeyGinWine	225625
Catclaw	225317
orrecrist	223696
cdxz11	215714
rbbb	215081
itsasin	212939
HeadOfBoo	203647
KvasiOrko	202215
radikal08	200198
Allting	198893
BenAsslick	198002
visslaren	197838
kissen_mjau	195941
Morfar-52	195613
zoccer	192073
StorMamma	189610
wakkawalla	188524
Bangar_inte	181852
MYRSLOKEN	181412
palmbladet	180036
Farenhigh	179740
Stormorfar	178476
Himmler!	176189
kvm3	175850
Berberine	175556
expander	175039
nuplie22	174967
Mandic!	174071
Lee Sterling	173307
smokevatr	172624
HentaiMannen	171708
TomiX	171614
B.S.F	170814
Theterm95	169814
KringEx	169412
alprazolam_	167716
Max-gainz	166690
likeithard	165753
caeco	165162
10L	164184
PhantomBlot	161351
Tridnod	161326
SMD FB	159935
Lilabanan	159225
brisingr	158882
hoppidoppi	158457
Dr.Jekyll	157870
Puffarn	157371
kstrom	155684
Carl-Ann von s	155511
ZEUS.	154589
Denom	154516
Midnight	151691
JojjeMeduza	148944
Prax^	147161
KungPungPat	143951
DXM-Redemption	143845
Hysteria90	143023
Etizopapaya	141968
Natural	141910
Brmc	140254
Fluson	138627
Fordie	138571
Sjogras	138508
Zot^	137875
antiantiliberal	137620
Trollish	137603
theshade	135088
Corv	134919
makdui	134622
SunshineBlind	134605
marcus90_kung	134430
Xample	134192
yournotlikeme	134168
Tjacktorsken	133756
tvivale	132839
Dyngraukman	132806
Macgarver	132177
tim_hedlund	132084
superbiffen	129133
Dicevy	128621
Stillgrowing	127743
kool-g-rap	127684
tj.	126801
D Roger.	126365
Hypotesus	126191
Custom_made	124932
friman1987	122688
Dashivas	121353
diversion	121281
DrGreenthumb	121038
blejser	120521
ikh	120387
rund	120315
honken80	120193
unleash82	119767
200kg	118775
cleft	117729
thelilgringo	117449
trippen	117192
Tom.Bombadill	116883
Spliffmeister	116665
Grafikkort	116251
2500	115696
Robbadobb	115685
Asgarvar	115375
