author	ntokens
Coffe_K4n0n	1417992
DixieD	1177566
Katzyn	1172830
Gertrud1	906434
Babianen	722580
SmurfSmurf	691290
vasadueller	689007
micro113	688101
lacrima	641801
Adriadne	600721
Burros	594507
therefore	592386
Neverhesitate	528530
mr.gegge	514391
Lava	502877
Empress	478087
Witticism	458339
rotadent	456194
Snurren	454643
DennisOlof	447788
KloBengan	447680
Locho	441148
Merwinna	440789
kanzaki	422972
empoisonne	415817
Skattebrott	405504
Tystnad	378300
Megaforce	376031
Charmaine	365701
Runkpapper	364847
Provocative2.0	363614
Molson Canadian	361982
imperatrix	360547
frivol	358262
Findusofelix	354542
Filling	353660
Etta.Place	349752
Sana	346891
Varmare	337570
tempeZZt	337084
Buffymylove	321859
Phailure	319594
pudrig	319225
snelhesten	318103
Prepper	314307
Eliza CT	308827
MrFold	307609
Sipofa	304892
Imiron	304357
Malko	299472
frange	297457
Mr Mojo Risin'	297110
Brandbil	295997
Nihenna	286730
BigFatCone	283616
JordenIsPlatt	280032
skunkjobb	279535
Methos	265982
Geomeister	264392
Vekruset	264047
Europe	259739
Ratad	256659
Roxana	255886
provocative77	253378
Snövit	252331
hasseochtage	251517
Brunbevern	245363
SkepticalHippo	243513
DXM-Redemption	240936
DoraF	240889
kurt-sune	238364
SheriffeN^^	238045
Pripps3.5	237632
blomvattnare	235719
Charma	235069
cucciola	232718
Clayton80	231855
thefisk	231800
Loqita	220052
Victus	219745
R.R	219523
u53rn4m3	217871
Zelogath	215244
puckot	214956
KamratBlue	214513
Mojokii	212869
HighwayDelight	212313
CC75	211098
NewDeer	210702
Spyrran	209748
pillowpop	209156
Herrtrosa	208117
Janne-Taikon	208042
Imperor	207934
MontanaT	207089
jaybone	206730
jumpcut	205440
Zanizaila	202021
Herr Bökberg	201840
v50	201606
makullerad	201480
nilserikkk	200170
bithax	198337
Arne.Anka	198016
pbo	197955
kraftfoder	196651
Cineasten	194346
Psyko Dad	193500
Nospheratu	193426
VitKalla	191765
Roherian	191604
ÅsaNisse	191434
Cruella de Vil	189865
Milford.Cubicle	188644
moderatswing	188139
zaraja	185340
ErikJ	185256
tobes	182307
dekanmi	181972
Jäija	181318
Ogden	181246
Kausti	180240
Dr Tinnitus	179965
rattvisaebra	179395
AlexandraIda	179081
snubblen	178709
15minFame	178499
jjujju	178456
Herr.Vaken	178455
Zigga	175466
TomatKungen	175233
elektronikfreak	175087
Jensofsweden	170431
Mooon	169458
Lonex619	168983
VenomX	164631
Fjodorov	164302
Incendio	163765
flagella	163765
Prax^	163502
Fantomsmaerta	161999
Jafan89	161499
hee4r	159591
