author	ntokens
Dr Tinnitus	2092381
Mobiltelefon	1137291
CyrusGNetWork	853678
Fina Gubben	699731
Proton	673036
PeterNoster	628546
annanmedlem	615299
	593946
DennisOlof	585731
irken	514259
gadzoox	498135
contractorian	490979
lorebf	469004
^Eaz	454783
/Nisse_Hult	439680
.Chloe	439623
927	439561
EliasAlucard	431128
Arne.Anka	416443
panpo98	411300
Nexus-6	402523
x12	392452
Falukropp	383201
sebnie	382084
1FF	372429
EnLitenFrys	342390
spindrift	340597
Nihenna	339958
MondoBizarro	336318
Sereena	328145
Sha R'Tae	324617
Stoppable	313374
Farbror Fazer	304671
X_surfer	298789
Dreas	293702
The Crash	277864
Ett litet djur	277350
EckiEcki	272170
Sweetiepie	271936
Kausti	270359
Nemesis1	265881
Ufojesus	261321
Pajosv	258465
kimdah2002	256653
B-O Gavne, Västerås	256573
BigFatCone	254420
Bogga	247879
antagonisten	246326
Bleppe_Bf	239439
Clinto	237747
salxar	237550
crillecrille	235832
Megaforce	232702
iGenocide	231129
TuXI	226811
N3ss3	225842
DrSvenne	224282
mphummer	224264
vhe	223310
sonofnature	220951
PUSClFER	215528
qrizze	214886
Carradine	213645
Proppis	213522
hasenfrasen	213091
-ELF-	209002
Joomla	208803
asdfghjklzxcvbnm	208123
DenGodeDoktorn	207156
Spader	205570
roader	204782
JemyM	202217
Pulse82	201024
TorrentLover	198581
micaele	198567
or99	197972
Salorm	197151
ÅnkelGunnar	194620
eribabsi	194192
saganshus	194084
hockexx	193358
repeater	192519
Wobin	190174
Andreasvb	189294
Moffin	187974
miloudot	185227
Raggarspinn	184224
christery	182544
radikal08	179663
Ruskigbuss	179404
teowind	177438
Ödlan	177358
Reggaeman	176861
The Barr	176175
Ace Ventura	175882
StefanHeterJag	174730
Cobra Style	174314
Opilus5500	173839
pozie	173316
[complex]	171216
Guesswhoiam	170750
miklon	170213
Weeblie	168676
UnEasy	168571
StrenghtCoach	168157
iconicatab	166982
sommarlov	166454
ChristerN	163744
blueCommand	163705
Kebabsuger	163170
Cognitive Dissident	161561
HejAnton	160831
Rassa	157788
mog	157594
StyleWars	156169
kraftfoder	155340
grahnen	154545
lbl	154479
frank_pe	153638
Seagate	152863
Zom	151445
Hejsan1	149382
SkinnyFists	149353
tzj	148288
Wosp	147145
Isterband	146551
Spejnar	146425
ShizzleNizzle	145850
TheGoodDoctor	145469
Pastor Franz	144564
epost72	144198
PinkVelour	143324
Mystiqe	143006
AntzPantz	142665
Gothenburger	140982
dip	139139
Von0ben	138492
system	137887
Taiga	137217
Elgben	136763
Frostnatt	136610
Adutrumque	136606
SilentVictory	134597
ABZeta99	134479
SinX	133071
Ferdawoon	132363
winINC	132185
snouser	131391
Big Boss	130365
Kessler	130365
IWannaBeAdored	130353
Fallman	130204
Emerain	129573
memymo	128905
fuska	128904
#LOUDmouth#	128865
confused...	128283
swebarb	127918
ant'	126687
Moll-E	126652
merlin2	126610
Sikkan	126472
soulreaper	126315
KaptenKolv	126196
TKD_1337	125978
m4staSWE	125763
_x3m_	125750
C0w	125599
Tvillingen	124598
alef-noll	123407
Sylian	122967
Woozah	121988
HeltVild	120860
mikebatch	120710
DrSpankel	120621
ojn	120440
st0ckis	119537
EySanchez	119363
cammen3	119058
pyro860	117988
Thiesen	117875
brianmolko	117682
R.R	117269
volvo 240	117240
M2k	116461
cannaBe	116221
call3	116135
ItsmeGlenn	115979
BlackMetal	115890
bl-gr-n	115256
TheCaze	114952
Ran	114936
newone	114799
Ferros	114794
znorlax	114061
Nikolajevitj	113033
cellplast	112898
Nate Black	112628
bergsturk	112275
Theshawty	111907
Arbetarbroder	111789
bog11	111774
Skadat gods	111568
Stewie_griffin	111549
4yoonly	110546
TexasSwede	110479
Mr.Dee	110389
ÅsaNisse	110384
wastaah	110136
Hardtail	110068
^swestres^	110052
NirvanA	109996
Aldain	109803
metapod	109259
Trillske	109144
Jak@n	108906
PrinceMeandor	108595
Unilar	108160
MR-Ganjalf	107510
flipper1446	107074
xyklopf	107068
Snöj	107025
Mindstormer	106951
allban	106733
DaVajj	106696
Replique	106602
gosh	106222
mistadabolina	106174
Enigmium	105665
Guap	105224
Cardiac	104618
majxstro	104355
SwedishMilk	103745
AntonS	103365
Flytande_argot	103291
Skogswald	103186
Snuffelbutt	103064
SuperPutte	103020
crille666	102964
Robs	102852
Povel	102782
Hkarn	102531
kundvagn	102443
svampdamp	102356
Dronjak	101422
frange	100969
isato	100651
raggarsvin	100641
d00rkey	100286
lasternassumma	100083
rancor	99804
Prixm	99605
tobes	99364
Tooner	98985
Resania	98301
SweCrime	98000
oneman	97981
agentsarcasmo	97604
pf10	97563
stR	97515
Faszom	97501
Graver	97200
Loxus	97123
sydh	96874
Squalo	96152
Korder	95724
BesserWisser	95344
sagonar	95307
Tekoppar	95177
Mackan52	94734
EdgeofEnding	94616
Draedon	94583
Panzerbat.	94351
oGGo	94330
madtop	94127
Smurfacc	93732
770310	93702
Langsdale	93479
KinG-NothinG	93468
Flärp	92554
wema	91722
jonthe12	91712
MRZnr1	91569
scrollock	91402
Exabyte	91358
Flinta82	91348
Run3	91305
Veeoon	91194
Henkko	90838
trupert	90348
serein	89915
dannywtf	89241
pingvinen	89171
Unbalanced	89148
marcus_129	88723
Megalomania	88721
cay	88681
Kung_Ingenting	88378
Nicoo	88368
smurfeh	88310
SSH	88292
Empress	88086
drole	87719
Mattelol	87658
Neroxx	87629
RSX	87547
Hast1215	87487
ACM81	87446
BendingSwine	87017
Cpt.Obvious	86051
lonian	86013
Drakfisk	85999
Rakii	85650
negash	84937
Regentia	84867
Cousin Cocaine	84862
yokisuci	84744
therefore	84657
Fyrkantig_boll	84458
avc	84367
Porryhatter	83921
Sainsburys	83572
calamato	83170
Katalysator	83149
Sumsarr	83145
klos_	83094
z0mfg(ish)	82917
clappen	82757
NightWalker1	82326
ei96byod	82278
Quwerrt93	81925
puckot	81233
Simson1	81212
srAz	81136
lumba	81062
enverhoxha99	81052
hakro807	80994
HerrSvensson	80819
fantomsmurfen	80702
Skinnspikensfc	80635
baruba	80372
