first_user	second_user	interactions	accepted	first_interaction	accepted_interactions	last_accepted_interaction	last_interaction
El Zorro	tobes	3	false	2835	1	0	3036
Mystiqe	^Eaz	26	false	1993	2	0	5827
Brofsteel	Indecline	6	false	3070	6	0	3248
Squalo	^Eaz	2	false	4496	2	0	4501
Tobias123	^Eaz	13		4334	10	4673	4717
Drakula09	different_trip	3	false	4772	3	0	5054
different_trip	testocyp	148	false	4757	17	4802	5881
Leif.Jennekvist	^Eaz	1	false	4830	1	0	4830
Mr.Dee	PingPongZong	5	false	4892	5	0	5113
Drakula09	testocyp	4	false	4855	4	0	4929
Drakula09	clappen	1	false	4930	1	0	4930
.-.-.	testocyp	2	false	4979	2	0	4981
^Eaz	different_trip	12	false	4080	1	0	5008
different_trip	vasadueller	5	false	5017	1	0	6319
Schering	different_trip	6	false	4873	3	0	6901
Tobias123	nero1	7	false	4362	7	0	4480
^Eaz	nero1	2	false	4362	2	0	4363
Schering	Tobias123	5	false	4754	5	0	4778
Tobias123	testocyp	10		4786	10	4810	4810
Mr.Dee	testocyp	20		4892	10	4951	5252
Lee Sterling	jarrelka	1	false	5799	1	0	5799
testocyp	tj.	13	false	5355	2	0	6329
BigFatCone	qirtero	21	false	5786	4	0	8119
Midnight	Schering	3	false	4975	3	0	4977
Custom_made	Truce-	6	false	4087	6	0	4132
Leif.Jennekvist	different_trip	20	false	4706	3	0	7985
Afonso	^Eaz	11	false	2244	1	0	4262
Gammal Hårdrockare	Sam Lowry	30	false	3050	13	3231	3362
El Zorro	Gammal Hårdrockare	1	false	3232	1	0	3232
Schering	testocyp	29		4757	10	4800	5508
Afonso	shivaspace	11	false	2128	5	0	2816
MuscleShark	PingPongZong	10	false	5523	1	0	8040
Leif.Jennekvist	jarrelka	5	false	5824	5	0	5965
Mystiqe	likeithard	13	false	3137	8	0	5399
Kirenstilen	PenisJuice	2	false	4769	2	0	4772
Sir Dwain	testocyp	1	false	4820	1	0	4820
MuscleShark	tj.	3	false	6601	3	0	6841
Drakula09	Tobias123	8	false	4685	8	0	4777
Mr.Dee	tj.	49	false	4187	2	0	5279
Mr.Dee	RonJeremyClarks	18	false	4060	8	0	5227
RonJeremyClarks	tj.	8	false	4403	2	0	5340
Europolitan	testocyp	1	false	4981	1	0	4981
Huge-0	guggliano	5	false	3643	1	0	4433
NirvanA	testocyp	11		5664	10	5675	8228
Carl-Ann von s	^Eaz	1	false	4087	1	0	4087
Knullkungen	^Eaz	2	false	4349	2	0	4349
Drakula09	Xample	1	false	4940	1	0	4940
Xample	testocyp	4	false	4763	3	0	5157
Leif.Jennekvist	Xample	10	false	5104	1	0	6770
Afonso	Tord_Ywel	1	false	3635	1	0	3635
Arne.Anka	MuscleShark	5	false	5562	1	0	6888
Arne.Anka	testocyp	5	false	5900	2	0	8546
NirvanA	tj.	12	false	4107	1	0	6703
NirvanA	Xample	9	false	5654	6	0	6737
Leif.Jennekvist	tj.	7	false	5809	4	0	6705
jarrelka	vasadueller	2	false	5497	2	0	5497
MuscleShark	vasadueller	3	false	5503	1	0	6314
testocyp	vasadueller	9	false	5357	6	0	6324
jarrelka	testocyp	28		5608	10	5687	6200
Leif.Jennekvist	MuscleShark	20	false	5525	6	0	6279
Schering	jarrelka	1	false	5596	1	0	5596
Leif.Jennekvist	NirvanA	18	false	5039	4	0	8658
BigFatCone	PingPongZong	8	false	6294	1	0	8383
itsaek	trottwell	3	false	8369	3	0	8416
trottwell	utan.att.stanna	22		8064	10	8404	8542
different_trip	jarrelka	10		5570	10	5825	5825
NirvanA	The Butcher	11	false	2866	9	0	3455
Skullhead	^Eaz	1	false	3935	1	0	3935
MuscleShark	jarrelka	2	false	5983	1	0	6680
MuscleShark	different_trip	9	false	5437	5	0	6901
LucNN	Nume	1	false	5933	1	0	5933
Leif.Jennekvist	testocyp	49	false	4848	5	0	6505
CXT	iamugly	2	false	4325	1	0	4818
getz	trottwell	1	false	7704	1	0	7704
VoldsamKnarkare	fonzen	1	false	7768	1	0	7768
NirvanA	fonzen	19	false	6436	1	0	8265
StorMamma	The Butcher	15	false	2666	4	0	3693
>>Operator<<	Mystiqe	6	false	3149	6	0	3235
>>Operator<<	Nemesis1	54		3153	10	3185	3356
GayMan	Lord_Stalin	8	false	2709	8	0	2757
testocyp	tältpinne	3	false	4804	3	0	4891
Drakula09	Leif.Jennekvist	26	false	4689	5	0	5106
Mystiqe	StorMamma	22	false	1998	8	0	3950
Chemicalien	The Butcher	1	false	3154	1	0	3154
Lee Sterling	UndeadNinja	1	false	6755	1	0	6755
UndeadNinja	Xample	1	false	6756	1	0	6756
Lee Sterling	Xample	5	false	4377	3	0	6756
MuscleShark	Xample	4	false	5645	3	0	6307
MuscleShark	testocyp	25	false	5507	12	5676	6444
Slingshot	testocyp	5	false	4866	1	0	6205
Slingshot	jugbandblues	44		4213	10	4383	6176
Leif.Jennekvist	funktioner	4	false	8301	4	0	8302
Sophisticatedcutie...	testocyp	1	false	6017	1	0	6017
Dr.Jekyll	Maeztroo	11	false	2714	8	0	2958
El Zorro	Ladida	2	false	2716	1	0	3256
Schering	^Eaz	2	false	5032	2	0	5036
Leif.Jennekvist	Schering	11	false	5050	8	0	6588
PingPongZong	itsaek	2	false	8652	2	0	8690
The Butcher	orkavaraserios	1	false	3166	1	0	3166
different_trip	nero1	3	false	4654	1	0	5195
Mr.Dee	different_trip	13	false	4378	6	0	5279
El Zorro	LadyTiera	10	false	2378	6	0	3004
LucNN	testocyp	6	false	5409	6	0	5667
El Zorro	jarrelka	1	false	2300	1	0	2300
nero1	trottwell	2	false	7237	1	0	8336
El Zorro	storyteller	2	false	2692	2	0	2692
El Zorro	^Eaz	3	false	2766	2	0	4038
Siden-Carlsson	insomnia	39	false	2639	2	0	2898
Europolitan	Tobias123	2	false	4727	1	0	7344
clappen	different_trip	14	false	4935	1	0	5786
Mr.Dee	Mulla Krekar	14	false	4185	4	0	6328
Intergalactic	^Eaz	1	false	3900	1	0	3900
Mystiqe	testocyp	10		5334	10	5670	5670
Arne.Anka	qirtero	16	false	4829	3	0	8031
Leif.Jennekvist	Mr.Dee	5	false	4098	2	0	5147
El Zorro	flows	1	false	2499	1	0	2499
Leif.Jennekvist	nero1	5	false	4510	1	0	7131
PingPongZong	therefore	1	false	7687	1	0	7687
Huge-0	^Eaz	4	false	4298	4	0	4431
^Eaz	negerbarn	1	false	4244	1	0	4244
Schering	fonzen	1	false	5009	1	0	5009
CXT	Mr.Dee	17	false	4077	9	0	5264
Afonso	PingPongZong	1	false	3470	1	0	3470
Leif.Jennekvist	Mansory	4	false	5817	2	0	8166
El Zorro	The Butcher	9	false	2854	9	0	3152
^Eaz	trovalla	2	false	3887	2	0	4186
Leif.Jennekvist	orrecrist	1	false	6021	1	0	6021
Arne.Anka	nero1	4	false	5643	1	0	8290
CharlieR	El Zorro	2	false	2855	1	0	2861
Afonso	testocyp	1	false	2068	1	0	2068
Arne.Anka	fonzen	2	false	6920	1	0	8411
El Zorro	Mr.Dee	1	false	2640	1	0	2640
Awesome	b0gfetto	3	false	4057	2	0	4880
El Zorro	Nemesis1	5	false	2421	1	0	2835
Psychopatic	Resultant	6	false	2191	4	0	3302
Leif.Jennekvist	Mystiqe	11	false	3987	5	0	5945
Mr.Dee	Mystiqe	75	false	1661	1	0	5285
Mystiqe	mines	3	false	3778	3	0	4029
Xample	qirtero	11		6739	10	6810	6810
Leif.Jennekvist	qirtero	2	false	5216	1	0	7596
Afonso	Mystiqe	23	false	2133	8	0	4036
testocyp	ÅsaNisse	1	false	4886	1	0	4886
Midnight	You-got-clawed	1	false	5013	1	0	5013
^Eaz	testocyp	3	false	4851	3	0	4866
Leif.Jennekvist	trottwell	13	false	5891	1	0	8706
Midnight	Mystiqe	12	false	3148	7	0	5254
BenAsslick	Leif.Jennekvist	2	false	4013	1	0	5425
Schering	SeMeNoMore	2	false	5176	1	0	5426
BenAsslick	testocyp	24	false	4878	3	0	6001
CXT	different_trip	1	false	4386	1	0	4386
West-en	^Eaz	2	false	3212	1	0	4001
DenLede	Mystiqe	4	false	2619	1	0	4341
Mystiqe	b0gfetto	15		3706	10	3989	5109
different_trip	micke_h	1	false	4781	1	0	4781
Afonso	karatekung90	1	false	2220	1	0	2220
^Eaz	cannaBe	1	false	4046	1	0	4046
Bongmon	Slingshot	299		4665	10	4705	5739
EliasAlucard	Xample	1	false	6737	1	0	6737
PingPongZong	tj.	2	false	5170	1	0	7667
Afonso	H.E.L.	18	false	2141	6	0	2840
El Zorro	StorMamma	1	false	2605	1	0	2605
Leif.Jennekvist	Unbalanced	17		5700	10	5913	6179
Drakula09	El Zorro	1	false	2630	1	0	2630
Denom	Leif.Jennekvist	1	false	5437	1	0	5437
Denom	jarrelka	6	false	5606	6	0	5608
pogba	trottwell	1	false	7673	1	0	7673
Kickex	Leif.Jennekvist	1	false	5215	1	0	5215
